brand,phone_name,condition1,oldprice,newprice,ram,rom,condition2
Apple,iPhone 8 Plus,cũ đẹp 99%,Liên hệ,Liên hệ,3 GB,256 GB,used
Apple,Apple iPhone 12 Mini,cũ 99%,7.290.000 ₫,Liên hệ,4 GB,256 GB,Đã qua sử dụng
,iPhone 15 Pro,cũ đẹp 99%,26.690.000 ₫,31.990.000 ₫,,,
Samsung,Samsung Galaxy S22 Plus,cũ đẹp 99%,8.690.000 ₫,16.990.000 ₫,8Gb,256GB,New
,Samsung Galaxy A71   Hàn,Cũ,4.290.000 ₫,4.490.000 ₫,8 GB,128 GB,used
,Samsung Galaxy A51,Cũ,3.490.000 ₫,3.790.000 ₫,6GB,128 GB,used
,Samsung Galaxy A22  Hàn,Cũ,2.890.000 ₫,2.890.000 ₫,4GB,128 GB,used
Samsung,Samsung Galaxy A53,cũ đẹp 99%,4.390.000 ₫,9.990.000 ₫,8 GB,128 GB,used
Samsung,Samsung Galaxy A33,cũ,4.390.000 ₫,8.490.000 ₫,6GB,128 GB,new
Apple,iPad Mini 4,cũ 99%,4.790.000 ₫,8.990.000 ₫,2GB,128 GB,used
Apple,Apple iPad Mini 5 Wifi,cũ 99%,4.590.000 ₫,Liên hệ,3 GB,64 GB,used
Apple,Apple iPad Mini 5,cũ 99%,9.990.000 ₫,10.990.000 ₫,3 GB,64 GB,used
Apple,iPad Mini 3,cũ 99%,2.990.000 ₫,5.990.000 ₫,,4+64G,used
Apple,Apple iPad Pro 10.5,cũ 99%,6.290.000 ₫,10.990.000 ₫,4 GB,64 GB,Đã qua sử dụng
Apple,iPad Air 1 LTE,cũ 99%,2.290.000 ₫,5.490.000 ₫,1GB,32 GB,used
Samsung,Samsung Galaxy A12,cũ,Liên hệ,Liên hệ,4GB,128 GB,New
,Samsung Note 10 Plus,Cũ,Liên hệ,Liên hệ,12 GB,256 GB,
Apple,Apple iPhone 11 Lock,cũ,4.690.000 ₫,12.490.000 ₫,4 GB,64 GB,Đã qua sử dụng
,Samsung Galaxy S21 Plus,Cũ đẹp 99%,7.290.000 ₫,Liên hệ,8 GB,256 GB,used
,Samsung Galaxy Note 20 Ultra,Cũ,8.990.000 ₫,17.990.000 ₫,12 GB,256 GB,used
,LG V60 ThinQ,cũ 99%,2.990.000 ₫,Liên hệ,8 GB,128GB,used
,Google Pixel 6 Pro,Mới Fullbox,10.990.000 ₫,22.490.000 ₫,12 GB,128GB,new
Apple,iPhone 11,,8.490.000 ₫,21.690.000 ₫,4 GB,128 GB,refurbished
,Google Pixel 6a,Mới Fullbox,7.990.000 ₫,7.990.000 ₫,6 GB,128GB,new
,Samsung Galaxy S24 Ultra,Cũ Đẹp 99%,19.990.000 ₫,Liên hệ,12GB,256GB,
,iPhone 14,Cũ đẹp 99%,15.690.000 ₫,19.990.000 ₫,,,
Samsung,Samsung Galaxy A23,Cũ 99%,3.290.000 ₫,3.590.000 ₫,4GB,128GB,used
,Samsung Galaxy Note 20,Cũ,5.990.000 ₫,23.990.000 ₫,8 GB,128GB,used
,Samsung S20 Ultra,Cũ,6.990.000 ₫,14.990.000 ₫,12 GB,128GB,used
,iPhone 13 mini,cũ đẹp 128GB 99%,9.490.000 ₫,Liên hệ,,,
Apple,iPhone 12,cũ đẹp 99%,9.390.000 ₫,24.990.000 ₫,4 GB,256 GB,used
,Samsung Galaxy S10 Plus,Cũ,Liên hệ,Liên hệ,8 GB,512 GB,
,Samsung Galaxy Note 10,Cũ,Liên hệ,Liên hệ,8 GB,256 GB,
Samsung,Galaxy Z Fold2,Cũ,Liên hệ,Liên hệ,12 GB,256GB & 512GB,New
,Samsung Galaxy A82   Hàn,Cũ,Liên hệ,Liên hệ,6GB,128GB,used
,Samsung Galaxy S20 Plus,Cũ đẹp 99%,6.190.000 ₫,23.990.000 ₫,12 GB,256 GB,used
,Samsung Galaxy S20 Plus,Cũ đẹp 99%,5.790.000 ₫,23.990.000 ₫,12 GB,128 GB,used
Apple,iPhone 11,,7.990.000 ₫,Liên hệ,4 GB,64GB,refurbished
,Samsung Note 10 Plus,Cũ,Liên hệ,Liên hệ,12 GB,256 GB,used
,Samsung Galaxy S10 Plus,Cũ,Liên hệ,Liên hệ,8 GB,128 GB,
,Samsung Galaxy Note 10 Plus,Cũ,Liên hệ,Liên hệ,12 GB,256 GB,used
,Samsung Galaxy Note 9 Mỹ,Cũ,Liên hệ,Liên hệ,6 GB,128 GB,
,Samsung Galaxy S10 Plus,Cũ,Liên hệ,Liên hệ,8 GB,128 GB,used
,Samsung Galaxy A73,Cũ,3.290.000 ₫,Liên hệ,8Gb,128GB,
,Samsung S20 Ultra,Cũ,Liên hệ,Liên hệ,12 GB,256 GB,used
Apple,iPad 4,,2.590.000 ₫,2.990.000 ₫,1 GB,16GB,Đã qua sử dụng
,Samsung Galaxy S21,cũ đẹp 99%,6.290.000 ₫,6.990.000 ₫,8 GB,256 GB,used
,Samsung Galaxy S21 Ultra,cũ đẹp 99%,8.590.000 ₫,Liên hệ,12 GB,256 GB,used
,Samsung Galaxy S21 Ultra,Cũ đẹp 99%,9.490.000 ₫,10.990.000 ₫,12 GB,512GB,
,Google Pixel 6 Pro,cũ,8.990.000 ₫,15.990.000 ₫,12 GB,256 GB,used
,Điện thoại Sharp Aquos R6,,6.590.000 ₫,7.990.000 ₫,12 GB,128 GB,
