phone_name,condition1,oldprice,ram,rom
Samsung Galaxy A22,Cũ xước cấn,2.390.000 ₫,6 GB,128 GB
Samsung Galaxy A22,Cũ đẹp,3.590.000 ₫,6 GB,128 GB
Samsung Galaxy A23,Đã Kích Hoạt,4.290.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Cũ Trầy Xước,3.390.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Đã Kích Hoạt,3.590.000 ₫,4 GB,128 GB
Samsung Galaxy A30,cũ,1.590.000 ₫,3 GB,32 GB
Samsung Galaxy A30s,Cũ,1.990.000 ₫,4 GB,64 GB
Samsung Galaxy A31,Cũ,3.190.000 ₫,6 GB,128 GB
Samsung Galaxy A31,Cũ xước cấn,2.690.000 ₫,6 GB,128 GB
iPhone 13,Đổi bảo hành,19.790.000 ₫,4 GB,256 GB
iPhone 13 Pro Max,Cũ đẹp,18.390.000 ₫,6 GB,256 GB
iPhone 12 Mini,Cũ đẹp,7.690.000 ₫,,64 GB
iPhone 12 Pro Max,Cũ đẹp,16.590.000 ₫,6 GB,512 GB
ASUS ROG Phone 6,Cũ Trầy Xước,10.290.000 ₫,12 GB,256 GB
Samsung Galaxy Note 10+,Cũ xước cấn,7.590.000 ₫,12 GB,256 GB
Samsung Galaxy Note 20 Ultra,Đã kích hoạt bảo hành,16.290.000 ₫,12 GB,256 GB
Samsung Galaxy A15 LTE,Cũ Đẹp,3.190.000 ₫,8 GB,128 GB
Samsung Galaxy A21s,Cũ Đẹp,2.290.000 ₫,6 GB,64 GB
Samsung Galaxy A22,Cũ Xước Cấn,3.290.000 ₫,6 GB,128 GB
Samsung Galaxy A22,Cũ trầy xước,2.490.000 ₫,6 GB,128 GB
Samsung Galaxy A22,Cũ xước cấn,2.390.000 ₫,6 GB,128 GB
Samsung Galaxy A22,Cũ đẹp,3.590.000 ₫,6 GB,128 GB
Samsung Galaxy A23,Đã Kích Hoạt,4.290.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Cũ Trầy Xước,3.390.000 ₫,4 GB,128 GB
Samsung Galaxy A23,Đã Kích Hoạt,3.590.000 ₫,4 GB,128 GB
Samsung Galaxy A30,cũ,1.590.000 ₫,3 GB,32 GB
Samsung Galaxy A30s,Cũ,1.990.000 ₫,4 GB,64 GB
Samsung Galaxy A31,Cũ,3.190.000 ₫,6 GB,128 GB
Samsung Galaxy A31,Cũ xước cấn,2.690.000 ₫,6 GB,128 GB
ASUS ROG Phone 6,Cũ Trầy Xước,10.290.000 ₫,12 GB,256 GB
Nubia Neo,Cũ Trầy Xước,2.790.000 ₫,8 GB,256 GB
Nubia Neo,Cũ Đẹp,3.090.000 ₫,8 GB,256 GB
iPhone 11,Đổi bảo hành,9.390.000 ₫,4 GB,128 GB
iPhone 11,Đổi bảo hành,12.390.000 ₫,4 GB,256 GB
iPhone 11 Pro,Cũ đẹp,8.290.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ đẹp,12.390.000 ₫,4 GB,512 GB
Xiaomi 12T Pro,Cũ Đẹp,8.590.000 ₫,12 GB,256 GB
Xiaomi 13 Lite,Cũ Xước Cấn,4.890.000 ₫,8 GB,256 GB
Xiaomi Mi 10T Pro,Cũ trầy xước,4.190.000 ₫,8 GB,128 GB
Xiaomi Redmi Note 12 Pro,Đã Kích Hoạt,4.790.000 ₫,8 GB,256 GB
Xiaomi POCO M5,Đã Kích Hoạt,2.690.000 ₫,6 GB,128 GB
Xiaomi Redmi 10,Cũ Trầy Xước,2.590.000 ₫,4 GB,128 GB
Xiaomi Redmi 9T,Cũ đẹp,3.490.000 ₫,6 GB,128 GB
Xiaomi Redmi Note 12,Cũ Đẹp,3.290.000 ₫,8 GB,128 GB
Xiaomi Redmi Note 12 Pro,Cũ Đẹp,4.290.000 ₫,8 GB,256 GB
Xiaomi Redmi Note 13,Cũ Trầy Xước,3.190.000 ₫,6 GB,128 GB
iPhone 13 Pro,Cũ đẹp,15.590.000 ₫,6 GB,128 GB
iPhone 13 Mini,Cũ đẹp,10.790.000 ₫,4 GB,128 GB
iPhone 13,Đổi bảo hành,19.790.000 ₫,4 GB,256 GB
iPhone 13 Pro Max,Cũ đẹp,18.390.000 ₫,6 GB,256 GB
Samsung Galaxy S23 Ultra,Cũ Xước Cấn,15.290.000 ₫,8 GB,256 GB
Samsung Galaxy S23 Ultra,Cũ Đẹp,19.790.000 ₫,8 GB,512 GB
Samsung Galaxy S24 Ultra,Đã Kích Hoạt,26.290.000 ₫,12 GB,512 GB
Samsung Galaxy Z Flip3,Cũ xước cấn,8.490.000 ₫,8 GB,128 GB
Samsung Galaxy Z Flip,Cũ - Trầy xước,7.490.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip,Cũ Xước Cấn,7.990.000 ₫,8 GB,256 GB
Samsung Galaxy Z Fold2,Đã kích hoạt bảo hành,17.090.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold2,Cũ đẹp,14.990.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold4,Cũ Đẹp,16.090.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold4,Cũ Xước Cấn,15.090.000 ₫,12 GB,512 GB
Vivo V25 Pro,Đã Kích Hoạt,5.990.000 ₫,8GB + Mở rộng 8GB,128 GB
Vivo V25 Pro,Cũ Đẹp,5.390.000 ₫,8GB + Mở rộng 8GB,128 GB
Vivo Y36,Cũ Đẹp,3.390.000 ₫,8 GB,128 GB
Xiaomi 12 Pro,Cũ Đẹp,8.890.000 ₫,12 GB,256 GB
iPhone 12 Mini,Cũ đẹp,7.690.000 ₫,,64 GB
iPhone 12 Pro Max,Cũ đẹp,16.590.000 ₫,6 GB,512 GB
Samsung Galaxy S21 FE,Cũ đẹp,7.590.000 ₫,8 GB,256 GB
Samsung Galaxy S21 FE,Đã kích hoạt,11.090.000 ₫,8 GB,256 GB
Samsung Galaxy S21 Plus,,17.090.000 ₫,8 GB,256 GB
Samsung Galaxy S21 Plus,Cũ đẹp,10.590.000 ₫,8 GB,256 GB
Samsung Galaxy S21 Plus,Cũ xước cấn,7.590.000 ₫,8 GB,128 GB
Samsung Galaxy S21 Ultra,Đã kích hoạt bảo hành,21.590.000 ₫,12 GB,256 GB
Samsung Galaxy S21 Ultra,Cũ trầy xước,8.390.000 ₫,12 GB,128 GB
Samsung Galaxy S21 Ultra,Cũ xước cấn,8.690.000 ₫,12 GB,256 GB
Samsung Galaxy S22,Đã Kích Hoạt,11.890.000 ₫,8 GB,128 GB
Samsung Galaxy S22,Cũ đẹp,10.690.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Plus,Đã kích hoạt,16.190.000 ₫,8 GB,256 GB
Samsung Galaxy S22 Ultra,Đã kích hoạt,17.190.000 ₫,8 GB,128 GB
Samsung Galaxy A71 Đã kích hoạt bảo hành,,6.200.000 ₫,,128 GB
Samsung Galaxy A71,Cũ xước cấn,3.990.000 ₫,,128 GB
Samsung Galaxy A72,Cũ Đẹp,5.490.000 ₫,8 GB,128 GB
Samsung Galaxy A73,Cũ Đẹp,7.790.000 ₫,8 GB,256 GB
Samsung Galaxy Fold,Cũ đẹp,14.990.000 ₫,12 GB,512 GB
iPhone 6s,cũ đẹp,2.990.000 ₫,,128 GB
Samsung Galaxy S22 Ultra,Cũ trầy xước,13.090.000 ₫,12 GB,256 GB
Samsung Galaxy A14,Cũ Đẹp,2.590.000 ₫,4 GB,128 GB
Samsung Galaxy A14,Cũ Trầy Xước,,4 GB,128 GB
