phone_name,condition1,oldprice,ram,rom
Xiaomi 13T,Đã Kích Hoạt,9.090.000 ₫,12 GB,256 GB
Xiaomi Redmi Note 13,Đã Kích Hoạt,3.790.000 ₫,6 GB,128 GB
Xiaomi Redmi Note 13 Pro Plus,Đã Kích Hoạt,7.890.000 ₫,8 GB,256 GB
iPhone 11,Cũ đẹp,8.990.000 ₫,4 GB,256 GB
Samsung Galaxy S21 FE,Cũ Đẹp,6.890.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Plus,Cũ Trầy Xước,8.990.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Đẹp,15.090.000 ₫,12 GB,512 GB
Samsung Galaxy S22 Ultra,Cũ đẹp,13.090.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Xước Cấn,11.590.000 ₫,8 GB,128 GB
Samsung Galaxy Z Flip5,Cũ Đẹp,11.390.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip5,Đã Kích Hoạt,12.590.000 ₫,8 GB,256 GB
Samsung Galaxy Z Fold3,Cũ trầy xước,11.490.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold3,Cũ đẹp,13.490.000 ₫,12 GB,512 GB
Samsung Galaxy Z Fold4,Cũ Xước Cấn,14.090.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold5,Cũ Đẹp,22.790.000 ₫,12 GB,512 GB
Vivo X70 Pro,Cũ Đẹp,7.390.000 ₫,12 GB,256 GB
Samsung Galaxy S23 Ultra,Cũ Đẹp,19.790.000 ₫,12 GB,512 GB
Samsung Galaxy S24,Đã Kích Hoạt,15.590.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip4,Cũ Đẹp,7.790.000 ₫,8 GB,128 GB
iPhone 12,Cũ đẹp,8.990.000 ₫,,64 GB
iPhone 14 Pro,Cũ đẹp,20.390.000 ₫,6 GB,256 GB
iPhone 14 Pro,Cũ xước cấn,18.390.000 ₫,6 GB,256 GB
Samsung Galaxy A73,Cũ Trầy Xước,5.490.000 ₫,8 GB,128 GB
OPPO A78,Cũ Đẹp,4.590.000 ₫,8 GB,256 GB
OPPO Reno10,Cũ Đẹp,6.490.000 ₫,8 GB,256 GB
iPhone X,Cũ trầy xước,4.690.000 ₫,,64 GB
iPhone XR,Cũ đẹp,7.390.000 ₫,,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Xước Cấn,8.590.000 ₫,12 GB,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Xước Cấn,7.490.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20,Cũ đẹp,6.290.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20,Cũ trầy xước,5.790.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Trầy Xước,11.890.000 ₫,12 GB,256 GB
Samsung Galaxy S21,Cũ đẹp,6.390.000 ₫,8 GB,128 GB
Samsung Galaxy Z Flip4,Cũ Đẹp,8.490.000 ₫,8 GB,256 GB
OPPO A96,Cũ Trầy Xước,2.890.000 ₫,8 GB,128 GB
OPPO Find N2 Flip,Cũ Đẹp,9.690.000 ₫,8 GB,256 GB
iPhone 14 Pro Max,Cũ trầy xước,22.590.000 ₫,,256 GB
iPhone 6s,cũ đẹp,2.390.000 ₫,,64 GB
iPhone 14 Pro Max,Cũ đẹp,22.590.000 ₫,6 GB,128 GB
iPhone 13,Cũ đẹp,11.990.000 ₫,4 GB,128 GB
iPhone 11,Cũ trầy xước,7.590.000 ₫,4 GB,128 GB
Samsung Galaxy S23 Ultra,Cũ Trầy Xước,18.790.000 ₫,12 GB,512 GB
