brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,OPPO Reno10 Pro,Cũ Trầy Xước,,7.290.000đ,,,12 GB,256 GB
,Samsung Galaxy Z Fold4,Cũ Đẹp,,16.090.000đ,40.990.000đ,,12 GB,256 GB
,Samsung Galaxy S21 Plus,Cũ Đẹp,,7.090.000đ,,,8 GB,128 GB
,Samsung Galaxy S22 Ultra,Cũ Trầy Xước,,12.390.000đ,30.990.000đ,,8 GB,128 GB
,iPhone XR,Cũ trầy xước,,5.090.000đ,11.990.000đ,,,64 GB
,iPhone 14 Pro Max,Cũ Đẹp,,25.590.000đ,38.990.000đ,,,512 GB
,Samsung Galaxy Z Flip4,Cũ Đẹp,,8.490.000đ,25.990.000đ,,8 GB,256 GB
,Samsung Galaxy M55,Đã Kích Hoạt,,8.890.000đ,12.690.000đ,,12 GB,256 GB
,iPhone 13,Cũ Xước Cấn,,10.490.000đ,17.290.000đ,,4 GB,128 GB
,iPhone 15,Cũ Đẹp,,19.590.000đ,25.990.000đ,,6 GB,256 GB
,Samsung Galaxy Z Fold4,Cũ Xước Cấn,,14.090.000đ,40.990.000đ,,12 GB,256 GB
,Oppo Reno8,Cũ Đẹp,,4.390.000đ,,,8 GB,256 GB
,iPhone 15 Pro Max,Cũ Đẹp,,29.990.000đ,40.990.000đ,,,512 GB
,Samsung Galaxy S21 FE,Cũ Trầy Xước,,6.390.000đ,16.990.000đ,,8 GB,128 GB
,Điện thoại ZTE Blade A54,Đã Kích Hoạt,,1.690.000đ,2.290.000đ,,4GB + Mở rộng 4GB,128 GB
,iPhone 14 Pro Max,Cũ Xước Cấn,,21.590.000đ,32.990.000đ,,,256 GB
,Samsung Galaxy S22 Plus,Cũ Đẹp,,9.690.000đ,25.990.000đ,,8 GB,128 GB
,Samsung Galaxy S23 FE,Cũ Đẹp,,8.590.000đ,14.890.000đ,,8 GB,128 GB
,Samsung Galaxy S22 Ultra,Cũ Xước Cấn,,12.290.000đ,33.990.000đ,,12 GB,256 GB
,iPhone 13 Pro,Cũ trầy xước,,14.590.000đ,23.990.000đ,,6 GB,128 GB
,vivo Y36,Đã Kích Hoạt,,3.790.000đ,5.190.000đ,,8 GB,128 GB
,OPPO Reno8,Cũ Đẹp,,5.590.000đ,13.990.000đ,,8 GB,256 GB
,Realme 10,Cũ Đẹp,,3.390.000đ,7.190.000đ,,8 GB,256 GB
,iPhone 14 Pro,Cũ Trầy Xước,,19.190.000đ,29.990.000đ,,6 GB,256 GB
,Samsung Galaxy S23 Ultra,Cũ Trầy Xước,,16.290.000đ,31.990.000đ,,8 GB,256 GB
,OPPO Find N2 Flip,Cũ Đẹp,,9.690.000đ,19.990.000đ,,8 GB,256 GB
,Vivo V25 Pro,Đã Kích Hoạt,,5.890.000đ,13.990.000đ,,8GB + Mở rộng 8GB,128 GB
,Samsung Galaxy A25,Đã Kích Hoạt,,4.990.000đ,6.590.000đ,,6 GB,128 GB
,iPhone 15 Plus,Cũ Trầy Xước,,18.390.000đ,25.990.000đ,,,128 GB
,Samsung Galaxy A32,Cũ xước cấn,,2.790.000đ,6.490.000đ,,6 GB,128 GB
,Oneplus 10T,Cũ Trầy Xước,,8.790.000đ,17.990.000đ,,16 GB,256 GB
,iPhone XS,Cũ trầy xước,,6.290.000đ,,,,256 GB
,Samsung Galaxy A12,Cũ trầy xước,,2.790.000đ,4.290.000đ,,6 GB,128 GB
,Samsung Galaxy S21 FE,Cũ Đẹp,,6.190.000đ,11.490.000đ,,6 GB,128 GB
,iPhone XS Max,Cũ đẹp,,8.590.000đ,28.500.000đ,,,512 GB
,OPPO Reno8,Cũ Trầy Xước,,5.090.000đ,13.990.000đ,,8 GB,256 GB
,OPPO Reno11 F,Cũ Xước Cấn,,4.990.000đ,8.990.000đ,,8 GB,256 GB
,iPhone 13,Cũ Trầy Xước,,12.890.000đ,21.990.000đ,,4 GB,256 GB
,Samsung Galaxy Z Flip5,Đã Kích Hoạt,,13.890.000đ,,,8 GB,512 GB
,iPhone 15 Pro Max,Cũ Xước Cấn,,24.690.000đ,34.990.000đ,,,256 GB
,OPPO A78,Cũ Trầy Xước,,4.190.000đ,6.990.000đ,,8 GB,256 GB
,Samsung Galaxy A14,Cũ Trầy Xước,,2.290.000đ,4.490.000đ,,4 GB,128 GB
,OPPO Reno11 F,Cũ Đẹp,,5.990.000đ,8.990.000đ,,8 GB,256 GB
,iPhone 15 Pro Max,Đã kích hoạt,,27.690.000đ,34.990.000đ,,,256 GB
,OPPO A78,Cũ Xước Cấn,,3.790.000đ,6.990.000đ,,8 GB,256 GB
,Samsung Galaxy S22,Cũ Trầy Xước,,7.890.000đ,21.990.000đ,,8 GB,128 GB
,OPPO Reno11 F,Đã Kích Hoạt,,6.590.000đ,8.990.000đ,,8 GB,256 GB
,iPhone 12 Pro,Cũ Trầy Xước,,12.390.000đ,28.990.000đ,,,256 GB
,Samsung Galaxy S21 FE,Cũ Đẹp,,6.890.000đ,16.990.000đ,,8 GB,128 GB
