brand,phone_name,oldprice,newprice,release,ram,rom,combined_condition
,OPPO A77s,3.890.000đ,6.290.000đ,,8 GB,128 GB,a_new 
,iPhone 15 Pro,25.390.000đ,31.990.000đ,,,256 GB,a_new 
,iPhone 13 Pro,16.590.000đ,,,6 GB,256 GB,a_like_new 
,iPhone 14,15.290.000đ,19.990.000đ,,6 GB,128 GB,a_new 
,Xiaomi Redmi Note 11 Pro,3.890.000đ,7.490.000đ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S24,15.290.000đ,22.990.000đ,,8 GB,256 GB,a_new 
,iPhone 13 Pro Max,17.390.000đ,31.990.000đ,,6 GB,256 GB,a_old 
,iPhone XS Max,7.490.000đ,28.500.000đ,,,256 GB,a_old 
,Nubia Neo 2,3.990.000đ,5.490.000đ,,8 GB,256 GB,a_new 
,Samsung Galaxy S21 Ultra,8.590.000đ,33.990.000đ,,12 GB,256 GB,a_old 
,OPPO Reno10 Pro,7.290.000đ,,,12 GB,256 GB,a_old 
,Samsung Galaxy Z Fold4,16.090.000đ,40.990.000đ,,12 GB,256 GB,a_like_new 
,Samsung Galaxy S21 Plus,7.090.000đ,,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S22 Ultra,12.390.000đ,30.990.000đ,,8 GB,128 GB,a_old 
,iPhone XR,5.090.000đ,11.990.000đ,,,64 GB,a_old 
,iPhone 14 Pro Max,25.590.000đ,38.990.000đ,,,512 GB,a_like_new 
,Samsung Galaxy Z Flip4,8.490.000đ,25.990.000đ,,8 GB,256 GB,a_like_new 
,Samsung Galaxy M55,8.890.000đ,12.690.000đ,,12 GB,256 GB,a_new 
,iPhone 13,10.490.000đ,17.290.000đ,,4 GB,128 GB,a_old 
,iPhone 15,19.590.000đ,25.990.000đ,,6 GB,256 GB,a_like_new 
,Samsung Galaxy Z Fold4,14.090.000đ,40.990.000đ,,12 GB,256 GB,a_old 
,Oppo Reno8,4.390.000đ,,,8 GB,256 GB,a_like_new 
,iPhone 15 Pro Max,29.990.000đ,40.990.000đ,,,512 GB,a_like_new 
,Samsung Galaxy S21 FE,6.390.000đ,16.990.000đ,,8 GB,128 GB,a_old 
,Điện thoại ZTE Blade A54,1.690.000đ,2.290.000đ,,4GB + Mở rộng 4GB,128 GB,a_new 
,iPhone 14 Pro Max,21.590.000đ,32.990.000đ,,,256 GB,a_old 
,Samsung Galaxy S22 Plus,9.690.000đ,25.990.000đ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S23 FE,8.590.000đ,14.890.000đ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy S22 Ultra,12.290.000đ,33.990.000đ,,12 GB,256 GB,a_old 
,iPhone 13 Pro,14.590.000đ,23.990.000đ,,6 GB,128 GB,a_old 
,vivo Y36,3.790.000đ,5.190.000đ,,8 GB,128 GB,a_new 
,OPPO Reno8,5.590.000đ,13.990.000đ,,8 GB,256 GB,a_like_new 
,Realme 10,3.390.000đ,7.190.000đ,,8 GB,256 GB,a_like_new 
,iPhone 14 Pro,19.190.000đ,29.990.000đ,,6 GB,256 GB,a_old 
,Samsung Galaxy S23 Ultra,16.290.000đ,31.990.000đ,,8 GB,256 GB,a_old 
,OPPO Find N2 Flip,9.690.000đ,19.990.000đ,,8 GB,256 GB,a_like_new 
,Vivo V25 Pro,5.890.000đ,13.990.000đ,,8GB + Mở rộng 8GB,128 GB,a_new 
,Samsung Galaxy A25,4.990.000đ,6.590.000đ,,6 GB,128 GB,a_new 
,iPhone 15 Plus,18.390.000đ,25.990.000đ,,,128 GB,a_old 
,Samsung Galaxy A32,2.790.000đ,6.490.000đ,,6 GB,128 GB,a_old 
,Oneplus 10T,8.790.000đ,17.990.000đ,,16 GB,256 GB,a_old 
,iPhone XS,6.290.000đ,,,,256 GB,a_old 
,Samsung Galaxy A12,2.790.000đ,4.290.000đ,,6 GB,128 GB,a_old 
,Samsung Galaxy S21 FE,6.190.000đ,11.490.000đ,,6 GB,128 GB,a_like_new 
,iPhone XS Max,8.590.000đ,28.500.000đ,,,512 GB,a_like_new 
,OPPO Reno8,5.090.000đ,13.990.000đ,,8 GB,256 GB,a_old 
,OPPO Reno11 F,4.990.000đ,8.990.000đ,,8 GB,256 GB,a_old 
,iPhone 13,12.890.000đ,21.990.000đ,,4 GB,256 GB,a_old 
,Samsung Galaxy Z Flip5,13.890.000đ,,,8 GB,512 GB,a_new 
,iPhone 15 Pro Max,24.690.000đ,34.990.000đ,,,256 GB,a_old 
,OPPO A78,4.190.000đ,6.990.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy A14,2.290.000đ,4.490.000đ,,4 GB,128 GB,a_old 
,OPPO Reno11 F,5.990.000đ,8.990.000đ,,8 GB,256 GB,a_like_new 
,iPhone 15 Pro Max,27.690.000đ,34.990.000đ,,,256 GB,a_new 
,OPPO A78,3.790.000đ,6.990.000đ,,8 GB,256 GB,a_old 
,Samsung Galaxy S22,7.890.000đ,21.990.000đ,,8 GB,128 GB,a_old 
,OPPO Reno11 F,6.590.000đ,8.990.000đ,,8 GB,256 GB,a_new 
,iPhone 12 Pro,12.390.000đ,28.990.000đ,,,256 GB,a_old 
,Samsung Galaxy S21 FE,6.890.000đ,16.990.000đ,,8 GB,128 GB,a_like_new 
,Samsung Galaxy Z Fold6,33.290.000đ,43.990.000đ,,12 GB,256 GB,a_new 
,iPhone 12 mini,7.690.000đ,,,,64 GB,a_like_new 
,ZTE Blade V50 Design,2.390.000đ,3.290.000đ,,8GB + Mở rộng 10GB,256 GB,a_new 
,Samsung Galaxy Tab S6 Lite,3.490.000đ,,,4 GB,64 GB,a_like_new 
,OPPO A17,2.140.000đ,3.990.000đ,,4 GB,64 GB,a_like_new 
,iPhone SE 2020,5.090.000đ,,,3 GB,128 GB,a_old 
,Samsung Galaxy Z Flip5,12.690.000đ,,,8 GB,512 GB,a_like_new 
